[Sn;!R;BrCCC]
[Br;!R;Sn]
[C;R;CCOP]
[P;!R;CCC]
[C;R;NNOO]
[P;R;CCOO]
[S;!R;CCN]
[S;!R;CNN]
[[N+];!R;NNO]
[C;!R;CFFN]
[SiH;!R;CCC]
[CH;!R;CCCl]
[N;R;COS]
[C;!R;BCC]
[[S+];R;CCOO]
[C;R;CCFS]
[C;!R;BrCCN]
[CH2;!R;BC]
[CH;!R;CFP]
[C;!R;CClIS]
[C;!R;NPS]
[P;R;CNNO]
[S;R;NOOO]
[C;R;NNSS]
[C;R;CCClF]
[CH;R;CNP]
[C;R;CCClS]
[C;!R;CCFN]
[C;R;CFFN]
[C;R;CNNO]
[[n+];R;NNO]
[CH;!R;CCP]
[[S+];R;CC]
[C;R;BrNNS]
[B;!R;CCC]
[C;!R;BrCCS]
[C;R;CCCI]
[Sn;!R;CCClO]
[Cl;!R;Sn]
[O;!R;SnSn]
[CH;R;BCC]
[C;!R;CFPS]
[O;R;NN]
[N;R;NNO]
[C;!R;BrCIS]
[S;!R;OOO]
[C;R;CC]
[O;!R;CSn]
[Sn;!R;CCCO]
[C;!R;COP]
[N;R;CSS]
[N;!R;CCSi]
[C;R;CCSi]
[B;!R;OOO]
[[C-];!R;N]
[[N+];!R;CC]
[CH3;!R;Sn]
[Sn;!R;CCNN]
[N;!R;CCSn]
[C;!R;COSi]
[C;!R;BrCFI]
[C;!R;BrCCF]
[CH;!R;N]
[c;R;BCS]
[NH;!R;NSi]
[N;!R;BrC]
[Si;!R;CCCSi]
[Cl;!R;P]
[p;R;CCCl]
[c;R;CC]
[CH;!R;COS]
[S;R;OOOO]
[O;!R;CSi]
[Si;!R;COOO]
[NH;!R;NP]
[CH;R;CP]
[CH;!R;CFS]
[NH;!R;NN]
[C;!R;BrCN]
[C;!R;BrBrCS]
[[c-];R;CCC]
[O;!R;NN]
[[N+];!R;COS]
[S;!R;N]
[C;!R;CCSS]
[N;!R;CCCl]
[C;R;CCNP]
[C;!R;CFFI]
[S;R;NOO]
[S;!R;NN]
[C;!R;OOP]
[c;R;BNS]
[B;!R;CCO]
[[N+];R;COO]
[S;R;CCCO]
[S;R;CNN]
[NH;!R;CSi]
[SiH;!R;CCN]
[CH;!R;CCSi]
[C;R;BCCC]
[[S+];R;CCO]
[c;R;CNSi]
[C;!R;CFNN]
[c;R;BCO]
[NH;!R;CCl]
[CH3;!R;B]
[n;R;BCN]
[[n+];R;BCN]
[S;R;OOO]
[N;!R;CCl]
[C;!R;CClClN]
[c;R;FNN]
[C;!R;BrBrCC]
[Si;!R;CCCO]
[S;R;CSn]
[Sn;R;NNSS]
[NH;R;CSn]
[CH;!R;BCC]
[N;!R;SSi]
[P;!R;CNN]
[CH;!R;NNS]
[PH;!R;COO]
[[N+];R;BCCC]
[[B-];R;NOOO]
[O;R;CSn]
[Sn;R;CCOO]
[S;!R;CCCO]
[[S+];!R;CCC]
[CH;R;COP]
[c;R;CSSi]
[c;R;OSS]
[C;R;COOO]
[C;!R;CCClO]
[PH;!R;CCCC]
[C;!R;ClNN]
[CH2;!R;FS]
[P;!R;NOO]
[P;!R;COO]
[Sn;!R;CCCN]
[n;R;CCSn]
[[O+];!R;CN]
[[P+];!R;NNNN]
[N;!R;CPP]
[[N+];R;BCC]
[[cH-];R;CC]
[CH2;!R;S]
[N;!R;CNN]
[P;!R;NNNN]
[N;!R;NP]
[[P+];R;CCCC]
[C;R;CFFS]
[N;!R;OS]
[P;R;CNOO]
[C;!R;CIII]
[c;R;CFO]
[CH;!R;CSi]
[NH;!R;SiSi]
[CH2;R;CP]
[CH2;!R;OSn]
[[B-];R;CFNO]
[C;!R;CCSi]
[[P+];!R;CCCC]
[CH;!R;CPP]
[c;R;BrNO]
[C;!R;CClFI]
[CH;R;BrCC]
[CH;!R;CP]
[c;R;COSi]
[C;!R;CS]
[SH;!R;NOO]
[CH;!R;BCN]
[CH;!R;CFO]
[C;!R;CClClF]
[C;!R;BC]
[C;!R;CCClF]
[N;!R;ClN]
[C;!R;NOOO]
[BH;!R;CO]
[N;R;COO]
[B;R;BOO]
[N;!R;NSi]
[SiH2;!R;CN]
[N;!R;CNO]
[C;!R;CFFSi]
[c;R;NNSn]
[S;R;CCNN]
[[C+];!R;CCC]
[S;!R;CFOO]
[F;!R;S]
[CH;!R;NNN]
[NH;!R;BC]
[BH;!R;CN]
[CH;!R;BO]
[C;R;CNNS]
